number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,Necrosis,a,u,Chlorosis,b,v,CSI,GA,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
71,AER4,R1,Rep6,sand,Muromo_wehoto,G10,7,44.8,0.34,54.7567,-9.44,-0.7,9.0833,25.7,32.08,16.45,0.41,1.2016,2273.531,64.29,0.52,58.91,0.18
72,AER4,R1,Rep6,sand,Kabhutsu,G5,7,57.9,0.17,79.1128,-2.26,6.82,9.8062,19.13,23.32,28.97,0.24,-4.564,666.2155,39.53,0.51,55.63,0.13
73,AER4,R2,Rep1,red,Kasawaya,G6,4,16.1,0.4,40.5,-11.23,-9.11,1.09,38.05,34.58,45.21,0.21,-2.5,0,68.16,0.5,57.98,0.2
74,AER4,R2,Rep1,red,Natal_common,G11,4,20,0.42,47.68,-9.13,-1.42,2.04,23.13,28.64,9.86,0.47,1.68,2342.03,66.63,0.47,54.43,0.16
75,AER4,R2,Rep1,red,Makulu_red,G7,5,20.5,0.56,58.65,-11.15,-13.12,2.08,25.96,40.5,30.5,0.35,5.3,0,70.51,0.49,56.5,0.18
76,AER4,R2,Rep1,red,Tumbe,G12,5,20.8,0.41,48.21,-9.48,-1.81,3.17,23.21,29.41,8.77,0.45,1.9,2335.92,67.7,0.51,58.22,0.15
77,AER4,R2,Rep1,red,Murambatsvina,G9,5,22.5,0.58,33.33,-14.95,-8.07,3.37,27.12,33.89,12.29,0.66,3.3,2001.89,81.31,0.47,55.42,0.19
78,AER4,R2,Rep1,red,Munzungu_munemari,G8,5,26.8,0.59,37.01,-14.43,-8.41,4.63,24.3,31.37,6.38,0.63,5.93,2926.36,85.06,0.49,57.47,0.15
79,AER4,R2,Rep1,red,Chizambia,G3,6,31.5,0.49,57.64,-9.06,-4.32,5.38,20.68,26.28,18.23,0.53,4.22,1820.82,70.21,0.49,55.57,0.13
80,AER4,R2,Rep1,red,Chigunwe,G2,6,32.4,0.72,44.05,-18.76,-14.11,10.41,35.2,38.33,35.59,0.76,10.39,3981.83,97.49,0.5,58.76,0.15
81,AER4,R2,Rep1,red,Bobwhite,G1,6,34.6,0.28,84.47,-6.55,-12.94,10.6,25.04,48.19,49.32,0.32,11.35,1846.51,64.99,0.53,59.57,0.13
82,AER4,R2,Rep1,red,Guinea_fowl,G4,6,37.3,0.26,56.24,-18.23,-13.3,12.3,22.26,28.5,60.8,0.39,12.75,2263.85,72.58,0.51,57.81,0.14
83,AER4,R2,Rep1,red,Muromo_wehoto,G10,7,41.5,0.42,42.72,-9.48,-0.87,52.26,25.38,31.82,17.31,0.5,1.43,2517.27,64.77,0.52,59.32,0.17
84,AER4,R2,Rep1,red,Kabhutsu,G5,7,54,0.2,77.34,-0.06,9.37,65,18.21,21.3,6.51,0.21,-5.31,706.48,33.17,0.46,50.9,0.14
85,AER4,R2,Rep2,red,Kasawaya,G6,4,16.5,0.3,45.8,-17.63,-11.43,1.72,38.18,36.75,48.65,0.2,-2.6,0,87.5,0.53,62.09,0.17
86,AER4,R2,Rep2,red,Natal_common,G11,5,20.6,0.63,13.89,-17.07,-10.97,2.01,27.29,35.35,8.68,0.69,9.2,4189.63,87.5,0.51,59.92,0.17
87,AER4,R2,Rep2,red,Makulu_red,G7,5,21,0.58,60.21,-17.34,-11.54,2.2,26.85,45.2,35.6,0.3,5.4,0,89.39,0.54,62.94,0.15
88,AER4,R2,Rep2,red,Tumbe,G12,5,21.4,0.48,39.4,-11.28,-3.92,2.55,24.29,31.1,11.58,0.54,3.03,2540.58,73.29,0.52,59.61,0.15
89,AER4,R2,Rep2,red,Murambatsvina,G9,5,23,0.39,34.88,-9.33,-0.26,3.37,26.41,32.66,17.04,0.46,2.46,3033.2,63.29,0.51,58.36,0.19
90,AER4,R2,Rep2,red,Munzungu_munemari,G8,5,27,0.36,51.58,-5.31,2.42,3.51,19.05,24.19,12.92,0.42,-1.25,1173.5,51.56,0.53,58.48,0.11
91,AER4,R2,Rep2,red,Chizambia,G3,6,32,0.4,54.86,-11.82,-6.23,4.12,20.69,27.64,17.04,0.57,4,2230.51,83.67,0.55,61.68,0.11
92,AER4,R2,Rep2,red,Chigunwe,G2,6,32.5,0.76,42.3,-20.1,-15.41,5.22,36.86,35.96,35.91,0.78,10.49,4109.03,97.62,0.53,62.56,0.15
93,AER4,R2,Rep2,red,Bobwhite,G1,6,35.4,0.26,88.56,-6.59,-10.54,10.85,26.63,44.49,48.38,0.36,12.61,3993.64,87.33,0.51,59.38,0.17
94,AER4,R2,Rep2,red,Guinea_fowl,G4,6,38,0.24,58.43,-19.51,-14.77,11,26.2,24.47,65.1,0.38,11.47,4353.88,97.17,0.49,58.62,0.16
95,AER4,R2,Rep2,red,Muromo_wehoto,G10,7,42,0.55,34.77,-13.65,-7.41,52.94,24.03,31.72,6.3,0.59,4.67,2821.3,82.88,0.55,62.36,0.13
96,AER4,R2,Rep2,red,Kabhutsu,G5,7,54.5,0.19,71.71,-1.52,11.81,63,19.07,22.64,8.14,0.2,-5.82,604.04,29.65,0.51,56.03,0.13
97,AER4,R2,Rep3,red,Kasawaya,G6,4,17,0.45,48.6,-15.3,-9.11,1.65,35.6,2,49.71,0.18,-2.5,0,49.53,0.49,58.08,0.31
98,AER4,R2,Rep3,red,Natal_common,G11,5,21,0.1,80.41,1.91,20.11,3.57,35.81,38.12,55.06,0.23,-10.97,1766.54,38.78,0.47,55.27,0.34
99,AER4,R2,Rep3,red,Makulu_red,G7,5,21.5,0.55,65.31,-18.43,-12.03,5.76,23.62,45.3,38.5,0.23,5,1927.36,62.15,0.55,61.17,0.15
100,AER4,R2,Rep3,red,Tumbe,G12,5,22,0.22,69.79,-3.32,9.29,5.95,30.12,32.63,45.04,0.4,-6.83,2072.07,46.79,0.41,48.44,0.3
101,AER4,R2,Rep3,red,Murambatsvina,G9,5,23.6,0.08,66.04,-0.18,17.06,8,35.87,39.05,68.85,0.26,-7.33,2427.65,41.45,0.49,56.75,0.33
102,AER4,R2,Rep3,red,Munzungu_munemari,G8,5,27.54,0.18,82.65,-1.08,12.35,8.69,29.18,31.63,45.63,0.33,-9.2,1537.26,42.04,0.42,49.37,0.29
103,AER4,R2,Rep3,red,Chizambia,G3,6,32.36,0.45,54.64,-9.09,-5.02,9.47,21.3,27.69,15.61,0.54,4.3,1701.8,68.81,0.55,61.01,0.12
104,AER4,R2,Rep3,red,Chigunwe,G2,6,32.54,0.72,46.56,-12.63,-14.95,9.88,35.17,40.78,41.98,0.78,12.47,4007.77,66.28,0.46,55.71,0.3
105,AER4,R2,Rep3,red,Bobwhite,G1,6,36,0.26,83.4,-7,-12.37,12.71,27.15,46.07,57.24,0.31,13.22,3537.21,90.79,0.55,63.82,0.15
106,AER4,R2,Rep3,red,Guinea_fowl,G4,6,38.25,0.35,59.59,-23.16,-14.56,15,30.75,24.09,67.2,0.34,12.69,1828.01,48.1,0.44,51.24,0.29
107,AER4,R2,Rep3,red,Muromo_wehoto,G10,7,42.31,0.49,39.28,-10.06,-2.29,53.29,24.31,29.85,18.14,0.59,1.8,2454.84,68.95,0.46,53.58,0.18
108,AER4,R2,Rep3,red,Kabhutsu,G5,7,55,0.18,71.75,-1.6,12.5,62,22.32,25.07,8.65,0.25,-6.28,1233.35,33.1,0.51,57.35,0.29
109,AER4,R2,Rep4,sand,Kasawaya,G6,5,21.5,0.51,58.4297,-13.56,-7.37,3.6458,23.8,31.96,10.42,0.57,-0.0172,1602.9915,83.14,0.59,66,0.12
110,AER4,R2,Rep4,sand,Natal_common,G11,5,25,0.29,50.0851,-9.2,2.04,4.6948,32.46,37.51,32.23,0.43,1.3344,1831.3481,59.2,0.46,54.8,0.28
111,AER4,R2,Rep4,sand,Makulu_red,G7,5,25.6,0.56,52.564,-14.95,-9.38,5.3119,23.78,31.82,8.95,0.61,0.2669,1549.8117,88.43,0.55,63.23,0.13
112,AER4,R2,Rep4,sand,Tumbe,G12,5,24.6,0.66,42.1221,-16.63,-11.97,5.3579,23.07,30.48,5.66,0.7,3.8892,2001.2728,96.04,0.49,57.33,0.13
113,AER4,R2,Rep4,sand,Murambatsvina,G9,5,26.8,0.57,48.2407,-15.29,-9.16,5.6079,25.47,33.67,11.41,0.64,2.3707,2069.6816,85.67,0.55,63.11,0.14
114,AER4,R2,Rep4,sand,Munzungu_munemari,G8,6,30.5,0.81,21.7791,-22.26,-16.87,5.7916,31,40.02,7.85,0.88,2.5832,2262.1923,94.45,0.49,60.15,0.2
115,AER4,R2,Rep4,sand,Chizambia,G3,6,35.7,0.54,85.0727,-10.86,-5.2,6.2129,19.9,25.75,8.74,0.6,-5.8232,1422.5438,80.95,0.49,55.24,0.12
116,AER4,R2,Rep4,sand,Chigunwe,G2,6,36,0.83,23.4558,-21.1,-16.77,6.4864,27.12,36.81,6.08,0.88,8.181,3372.1466,100.18,0.55,64.89,0.14
117,AER4,R2,Rep4,sand,Bobwhite,G1,6,39,0.4,55.4056,-17.01,-6.29,9.0723,40.54,47.59,36.91,0.64,-1.3016,3214.7468,71.57,0.49,60.67,0.33
118,AER4,R2,Rep4,sand,Guinea_fowl,G4,7,41.6,0.29,86.4509,-5.55,6.59,10.916,30.53,34.66,29.93,0.41,-4.5626,254.157,50.85,0.45,53.12,0.27
119,AER4,R2,Rep4,sand,Muromo_wehoto,G10,7,45,0.39,61.8059,-11.27,-0.5,11.5027,33.48,39.32,27.39,0.53,-0.576,935.1949,63.96,0.47,56.67,0.28
120,AER4,R2,Rep4,sand,Kabhutsu,G5,7,58,0.17,83.2001,-2.26,6.82,19.5492,19.13,23.32,28.97,0.24,-6.501,1527.1724,39.53,0.51,55.63,0.13
121,AER4,R2,Rep5,sand,Kasawaya,G6,5,22,0.31,58.4297,-8.49,-0.37,3.6458,23.03,29.52,25.97,0.42,-0.0172,1602.9915,63.12,0.55,61.6,0.14
122,AER4,R2,Rep5,sand,Natal_common,G11,5,25.8,0.39,50.0851,-10,-2.72,4.6948,22.74,29.26,21.72,0.5,1.3344,1831.3481,70.62,0.53,59.8,0.14
123,AER4,R2,Rep5,sand,Makulu_red,G7,5,26,0.33,52.564,-8.09,-0.33,5.3119,21.72,28.23,24.08,0.43,0.2669,1549.8117,62.71,0.57,63.13,0.12
124,AER4,R2,Rep5,sand,Tumbe,G12,5,26.3,0.61,42.1221,-13.87,-8.62,5.3579,21.78,28.33,7.51,0.66,3.8892,2001.2728,89.1,0.48,55.47,0.13
125,AER4,R2,Rep5,sand,Murambatsvina,G9,5,26.95,0.39,48.2407,-10.71,-3.49,5.6079,23.24,30.45,20.44,0.48,2.3707,2069.6816,72.67,0.57,63.51,0.13
126,AER4,R2,Rep5,sand,Munzungu_munemari,G8,6,31,0.17,21.7791,-4.93,6.28,5.7916,27.45,31.6,55.02,0.38,2.5832,2262.1923,49.61,0.45,52.45,0.24
127,AER4,R2,Rep5,sand,Chizambia,G3,6,36,0.22,85.0727,-4.85,6.6,6.2129,27.34,32.24,37.25,0.36,-5.8232,1422.5438,48.84,0.49,56.05,0.22
128,AER4,R2,Rep5,sand,Chigunwe,G2,6,36.8,0.66,23.4558,-17.91,-12.71,6.4864,25.9,34.54,8.85,0.73,8.181,3372.1466,93.27,0.54,62.54,0.14
129,AER4,R2,Rep5,sand,Bobwhite,G1,6,39.95,0.17,55.4056,-8.74,4.48,9.0723,36.24,42.2,59.7,0.42,-1.3016,3214.7468,56.05,0.51,60.51,0.29
130,AER4,R2,Rep5,sand,Guinea_fowl,G4,7,41,0.18,86.4509,-2.48,5.93,10.916,17.64,22.18,28.41,0.25,-4.5626,254.157,38.39,0.55,59.43,0.1
131,AER4,R2,Rep5,sand,Muromo_wehoto,G10,7,46.5,0.39,61.8059,-8.09,-1.81,11.5027,18.62,24.31,16.6,0.46,-0.576,935.1949,69,0.53,59.04,0.1
132,AER4,R2,Rep5,sand,Kabhutsu,G5,7,59,0.17,83.2001,-3.79,8.58,19.5492,28.61,32.9,40.07,0.28,-6.501,1527.1724,46.53,0.47,54.56,0.24
133,AER4,R2,Rep6,sand,Kasawaya,G6,5,23.5,0.42,54.355,-10.9,-3.72,2.0051,23.52,29.93,12.84,0.48,2.3872,2052.4134,73.16,0.51,57.76,0.15
134,AER4,R2,Rep6,sand,Natal_common,G11,5,25.96,0.4,62.1183,-9.43,-2.66,2.2548,21.14,26.89,12.01,0.45,0.8588,1521.7877,71.2,0.49,55.89,0.13
135,AER4,R2,Rep6,sand,Makulu_red,G7,5,26.7,0.6,24.0823,-17.56,-12.53,4.3545,25.2,34.07,8.2,0.66,8.0714,3282.795,94.05,0.56,64.69,0.13
136,AER4,R2,Rep6,sand,Tumbe,G12,5,27,0.54,55.4319,-11.03,-5.53,5.4277,19.68,24.68,8.31,0.59,2.215,1558.7586,82.31,0.43,49.4,0.13
137,AER4,R2,Rep6,sand,Murambatsvina,G9,5,27.5,0.47,37.8962,-13.63,-6.79,5.441,25.49,33.12,14.04,0.54,4.8453,2766.0097,79.86,0.54,61.56,0.15
138,AER4,R2,Rep6,sand,Munzungu_munemari,G8,6,31.8,0.57,44.2836,-13.16,-7.38,5.622,22.44,29.17,8.64,0.63,4.3842,2219.1263,84.55,0.5,57.28,0.13
139,AER4,R2,Rep6,sand,Chizambia,G3,6,36.5,0.84,9.0609,-18.97,-15.39,5.8828,23.16,32.28,3.71,0.87,9.0921,3262.7885,105.33,0.58,65.94,0.1
140,AER4,R2,Rep6,sand,Chigunwe,G2,6,37,0.86,6.1359,-22.11,-17.75,6.1875,28.19,38.03,4.42,0.9,11.1196,4205.2537,100.31,0.54,64.39,0.15
141,AER4,R2,Rep6,sand,Bobwhite,G1,7,40.5,0.51,38.5884,-14.14,-8.3,7.4779,23.56,31.02,8.82,0.56,5.9047,2674.8971,85.78,0.53,60.44,0.13
142,AER4,R2,Rep6,sand,Guinea_fowl,G4,7,41.6,0.53,33.7477,-15.59,-6.98,8.5397,32.81,39.1,18.4,0.65,3.8531,3634.3047,75.44,0.45,54.82,0.27
143,AER4,R2,Rep6,sand,Muromo_wehoto,G10,7,47.5,0.53,40.5415,-13.54,-6.94,15.9006,24.79,32.19,11.8,0.6,4.6195,2576.9236,80.82,0.53,60.41,0.15
144,AER4,R2,Rep6,sand,Kabhutsu,G5,7,60,0.1,81.9987,-2.53,9.41,17.2653,25.55,30.33,15.73,0.12,-5.4594,1263.438,42.44,0.52,57.79,0.19
145,AER4,R3,Rep1,red,Kasawaya,G6,4,17.56,0.36,50.36,-10.66,-3.91,0,42.22,38.28,59.61,0.01,-14.81,2734.95,74.54,0.53,59.96,0.13
146,AER4,R3,Rep1,red,Natal_common,G11,5,22,0.35,36,-7.47,0.19,0,21.06,26.87,15.42,0.42,2.12,2343.53,61.02,0.53,59.13,0.13
147,AER4,R3,Rep1,red,Makulu_red,G7,5,22.4,0.35,65.31,-8.03,12.1,1.3,20.9,48.31,40,0.38,2.36,2308.46,64.16,0.53,59.64,0.12
148,AER4,R3,Rep1,red,Tumbe,G12,5,22,0.48,0,-8.89,-1.59,2.46,21.65,27.86,7.54,0.52,0,0,67.22,0.53,59.69,0.13
149,AER4,R3,Rep1,red,Murambatsvina,G9,5,23.8,0.46,0,-9.71,-3.22,3.68,20.68,26.92,8.4,0.5,0,0,73.29,0.53,59.31,0.12
150,AER4,R3,Rep1,red,Munzungu_munemari,G8,5,28,0.58,20.15,-12.57,-6.31,4.32,23.04,29.14,14.76,0.68,4.92,3076.44,80.76,0.46,54.01,0.16
